1, none, far_end:amethyst_forest, MONSTER, minecraft:enderman, 5, 4, 4
2, none, far_end:amethyst_forest, MONSTER, alexsmobs:farseer, 5, 1, 1
3, none, far_end:amethyst_forest, MONSTER, born_in_chaos_v1:baby_skeleton_2, 15, 1, 2
4, none, far_end:amethyst_forest, MONSTER, born_in_chaos_v1:baby_skeleton, 15, 1, 2
5, none, far_end:amethyst_forest, MONSTER, born_in_chaos_v1:barrel_zombie, 20, 1, 1
6, none, far_end:amethyst_forest, MONSTER, born_in_chaos_v1:bloody_gadfly, 20, 1, 1
7, none, far_end:amethyst_forest, MONSTER, born_in_chaos_v1:bonescaller, 11, 1, 1
8, none, far_end:amethyst_forest, MONSTER, born_in_chaos_v1:corpse_fly, 17, 1, 3
9, none, far_end:amethyst_forest, MONSTER, born_in_chaos_v1:dark_vortex, 10, 1, 1
10, none, far_end:amethyst_forest, MONSTER, born_in_chaos_v1:decaying_zombie, 15, 1, 1
11, none, far_end:amethyst_forest, MONSTER, born_in_chaos_v1:decrepit_skeleton, 15, 1, 1
12, none, far_end:amethyst_forest, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
13, none, far_end:amethyst_forest, MONSTER, born_in_chaos_v1:door_knight, 13, 1, 1
14, none, far_end:amethyst_forest, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
15, none, far_end:amethyst_forest, MONSTER, endermanoverhaul:end_enderman, 10, 1, 2
16, none, far_end:amethyst_forest, MONSTER, endermanoverhaul:end_islands_enderman, 10, 1, 1
17, none, far_end:amethyst_forest, MONSTER, realmrpg_wyrms:ender_wyrm, 10, 1, 3
18, none, far_end:amethyst_forest, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 10, 1, 1
19, none, far_end:amethyst_forest, MONSTER, born_in_chaos_v1:mr_pumpkin, 13, 1, 3
20, none, far_end:amethyst_forest, MONSTER, born_in_chaos_v1:nightmare_stalker, 10, 1, 1
21, none, far_end:amethyst_forest, MONSTER, born_in_chaos_v1:phantom_creeper, 10, 1, 1
22, none, far_end:amethyst_forest, MONSTER, realmrpg_wyrms:red_wyrm, 10, 1, 1
23, none, far_end:amethyst_forest, MONSTER, born_in_chaos_v1:restless_spirit, 20, 1, 1
24, none, far_end:amethyst_forest, MONSTER, born_in_chaos_v1:seared_spirit, 10, 1, 1
25, none, far_end:amethyst_forest, MONSTER, born_in_chaos_v1:shy_spirit, 10, 1, 1
26, none, far_end:amethyst_forest, MONSTER, born_in_chaos_v1:sir_pumpkinhead, 10, 1, 1
27, none, far_end:amethyst_forest, MONSTER, born_in_chaos_v1:skeleton_demoman, 12, 1, 1
28, none, far_end:amethyst_forest, MONSTER, born_in_chaos_v1:skeleton_thrasher, 10, 1, 1
29, none, far_end:amethyst_forest, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
30, none, far_end:amethyst_forest, MONSTER, born_in_chaos_v1:spirit_guide, 16, 1, 1
31, none, far_end:amethyst_forest, MONSTER, born_in_chaos_v1:supreme_bonescaller, 10, 1, 1
32, none, far_end:amethyst_forest, MONSTER, born_in_chaos_v1:swarmer, 11, 1, 1
33, none, far_end:amethyst_forest, MONSTER, born_in_chaos_v1:wither_scuttler, 20, 1, 1
34, none, far_end:amethyst_forest, MONSTER, born_in_chaos_v1:zombie_bruiser, 16, 1, 1
35, none, far_end:amethyst_forest, MONSTER, born_in_chaos_v1:zombie_clown, 10, 1, 1
36, none, far_end:amethyst_forest, MONSTER, born_in_chaos_v1:zombie_fisherman, 25, 1, 1
37, none, far_end:amethyst_forest, CREATURE, alexsmobs:endergrade, 10, 2, 6
38, none, far_end:amethyst_forest, CREATURE, alexsmobs:spectre, 10, 1, 2
39, none, far_end:amethyst_forest, CREATURE, alexsmobs:enderiophage, 10, 2, 2
40, none, far_end:amethyst_forest, CREATURE, alexsmobs:cosmaw, 10, 1, 2
41, none, far_end:amethyst_forest, CREATURE, born_in_chaos_v1:thornshell_crab, 10, 1, 1
42, none, far_end:amethyst_forest, AMBIENT, alexsmobs:cosmic_cod, 10, 9, 12
43, none, far_end:amethyst_forest, WATER_CREATURE, born_in_chaos_v1:corpse_fish, 10, 2, 4
44, none, far_end:amethyst_forest, WATER_CREATURE, born_in_chaos_v1:glutton_fish, 10, 1, 1
45, forest, wythers:ancient_copper_beech_forest, MONSTER, minecraft:spider, 30, 2, 4
46, forest, wythers:ancient_copper_beech_forest, MONSTER, minecraft:zombie, 40, 2, 3
47, forest, wythers:ancient_copper_beech_forest, MONSTER, minecraft:zombie_villager, 10, 1, 1
48, forest, wythers:ancient_copper_beech_forest, MONSTER, minecraft:skeleton, 40, 2, 4
49, forest, wythers:ancient_copper_beech_forest, MONSTER, minecraft:creeper, 30, 2, 4
50, forest, wythers:ancient_copper_beech_forest, MONSTER, minecraft:slime, 30, 2, 4
51, forest, wythers:ancient_copper_beech_forest, MONSTER, minecraft:witch, 5, 1, 1
52, forest, wythers:ancient_copper_beech_forest, MONSTER, monsterplus:abyssologer, 10, 1, 1
53, forest, wythers:ancient_copper_beech_forest, MONSTER, grimoireofgaia:arachne, 20, 1, 2
54, forest, wythers:ancient_copper_beech_forest, MONSTER, grimoireofgaia:bone_knight, 20, 1, 2
55, forest, wythers:ancient_copper_beech_forest, MONSTER, grimoireofgaia:creep, 20, 2, 3
56, forest, wythers:ancient_copper_beech_forest, MONSTER, grimoireofgaia:deathword, 30, 1, 2
57, forest, wythers:ancient_copper_beech_forest, MONSTER, grimoireofgaia:ender_eye, 30, 2, 4
58, forest, wythers:ancient_copper_beech_forest, MONSTER, grimoireofgaia:flesh_lich, 30, 2, 4
59, forest, wythers:ancient_copper_beech_forest, MONSTER, grimoireofgaia:mimic, 30, 1, 1
