1, none, betterend:amber_land, MONSTER, minecraft:enderman, 5, 1, 4
2, none, betterend:amber_land, MONSTER, betterend:end_slime, 30, 1, 2
3, none, betterend:amber_land, MONSTER, alexsmobs:farseer, 10, 1, 1
4, none, betterend:amber_land, MONSTER, born_in_chaos_v1:baby_skeleton, 25, 1, 2
5, none, betterend:amber_land, MONSTER, born_in_chaos_v1:barrel_zombie, 16, 1, 1
6, none, betterend:amber_land, MONSTER, born_in_chaos_v1:bloody_gadfly, 16, 1, 1
7, none, betterend:amber_land, MONSTER, born_in_chaos_v1:bonescaller, 11, 1, 1
8, none, betterend:amber_land, MONSTER, born_in_chaos_v1:corpse_fly, 15, 1, 3
9, none, betterend:amber_land, MONSTER, born_in_chaos_v1:dark_vortex, 12, 1, 1
10, none, betterend:amber_land, MONSTER, born_in_chaos_v1:decaying_zombie, 35, 1, 1
11, none, betterend:amber_land, MONSTER, born_in_chaos_v1:decrepit_skeleton, 45, 1, 1
12, none, betterend:amber_land, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
13, none, betterend:amber_land, MONSTER, born_in_chaos_v1:door_knight, 13, 1, 1
14, none, betterend:amber_land, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
15, none, betterend:amber_land, MONSTER, endermanoverhaul:end_enderman, 10, 1, 2
16, none, betterend:amber_land, MONSTER, endermanoverhaul:end_islands_enderman, 10, 1, 1
17, none, betterend:amber_land, MONSTER, realmrpg_wyrms:ender_wyrm, 10, 1, 3
18, none, betterend:amber_land, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 10, 1, 1
19, none, betterend:amber_land, MONSTER, born_in_chaos_v1:missioner, 10, 1, 1
20, none, betterend:amber_land, MONSTER, born_in_chaos_v1:mr_pumpkin, 13, 1, 3
21, none, betterend:amber_land, MONSTER, born_in_chaos_v1:nightmare_stalker, 10, 1, 1
22, none, betterend:amber_land, MONSTER, born_in_chaos_v1:phantom_creeper, 10, 1, 1
23, none, betterend:amber_land, MONSTER, realmrpg_wyrms:red_wyrm, 10, 1, 1
24, none, betterend:amber_land, MONSTER, born_in_chaos_v1:restless_spirit, 20, 1, 1
25, none, betterend:amber_land, MONSTER, born_in_chaos_v1:seared_spirit, 10, 1, 1
26, none, betterend:amber_land, MONSTER, born_in_chaos_v1:siamese_skeletons, 16, 1, 1
27, none, betterend:amber_land, MONSTER, born_in_chaos_v1:sir_pumpkinhead, 10, 1, 1
28, none, betterend:amber_land, MONSTER, born_in_chaos_v1:skeleton_demoman, 12, 1, 1
29, none, betterend:amber_land, MONSTER, born_in_chaos_v1:skeleton_thrasher, 10, 1, 1
30, none, betterend:amber_land, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
31, none, betterend:amber_land, MONSTER, born_in_chaos_v1:spirit_guide, 16, 1, 1
32, none, betterend:amber_land, MONSTER, born_in_chaos_v1:supreme_bonescaller, 10, 1, 1
33, none, betterend:amber_land, MONSTER, born_in_chaos_v1:swarmer, 11, 1, 1
34, none, betterend:amber_land, MONSTER, born_in_chaos_v1:zombie_bruiser, 16, 1, 1
35, none, betterend:amber_land, MONSTER, born_in_chaos_v1:zombie_clown, 10, 1, 1
36, none, betterend:amber_land, MONSTER, born_in_chaos_v1:zombie_fisherman, 30, 1, 1
37, none, betterend:amber_land, MONSTER, born_in_chaos_v1:zombie_lumberjack, 20, 1, 1
38, none, betterend:amber_land, CREATURE, alexsmobs:endergrade, 10, 2, 6
