1, wan_ancient_beasts:abandoned_housing, HEADING, header:ignore, 0, 0, 0
2, wan_ancient_beasts:abandoned_hut, HEADING, header:ignore, 0, 0, 0
3, dungeons_arise:abandoned_temple, HEADING, header:ignore, 0, 0, 0
4, dungeons_arise:abandoned_temple, MONSTER, minecraft:stray, 10, 1, 1
5, incendium:abandoned_tower, HEADING, header:ignore, 0, 0, 0
6, shrines:abandoned_villa, HEADING, header:ignore, 0, 0, 0
7, wan_ancient_beasts:abandoned_village, HEADING, header:ignore, 0, 0, 0
8, shrines:abandoned_witch_house, HEADING, header:ignore, 0, 0, 0
9, totw_modded:aether, HEADING, header:ignore, 0, 0, 0
10, imst:airship, HEADING, header:ignore, 0, 0, 0
11, imst:airship, MONSTER, minecraft:pillager, 10, 1, 1
12, imst:alpine_house, HEADING, header:ignore, 0, 0, 0
13, graveyard:altar, HEADING, header:ignore, 0, 0, 0
14, minecolonies:amazon_camp, HEADING, header:ignore, 0, 0, 0
15, minecraft:ancient_city, HEADING, header:ignore, 0, 0, 0
16, cataclysm:ancient_factory, HEADING, header:ignore, 0, 0, 0
17, wan_ancient_beasts:ancient_nest_double, HEADING, header:ignore, 0, 0, 0
18, wan_ancient_beasts:ancient_nest_single, HEADING, header:ignore, 0, 0, 0
19, betterarcheology:archeologist_camp_grassy, HEADING, header:ignore, 0, 0, 0
20, betterarcheology:archeologist_camp_redsand, HEADING, header:ignore, 0, 0, 0
21, betterarcheology:archeologist_camp_sand, HEADING, header:ignore, 0, 0, 0
22, minecolonies:asian_colony, HEADING, header:ignore, 0, 0, 0
23, minecolonies:asian_colony, CREATURE, minecraft:cat, 80, 1, 2
24, twilightforest:aurora_palace, HEADING, header:ignore, 0, 0, 0
25, dungeons_arise:aviary, HEADING, header:ignore, 0, 0, 0
26, dungeons_arise:aviary, MONSTER, minecraft:phantom, 60, 2, 3
27, shrines:azalea_pavilion, HEADING, header:ignore, 0, 0, 0
28, totw_modded:badlands, HEADING, header:ignore, 0, 0, 0
29, nova_structures:badlands_miner_outpost, HEADING, header:ignore, 0, 0, 0
30, wan_ancient_beasts:badlands_temple, HEADING, header:ignore, 0, 0, 0
31, bakery:bakery, HEADING, header:ignore, 0, 0, 0
32, bakery:bakery, CREATURE, minecraft:pig, 10, 1, 4
33, imst:balloon, HEADING, header:ignore, 0, 0, 0
34, shrines:balloon, HEADING, header:ignore, 0, 0, 0
35, imst:bandit_camp, HEADING, header:ignore, 0, 0, 0
36, imst:bandit_camp, MONSTER, minecraft:pillager, 10, 1, 1
37, dungeons_arise:bandit_towers, HEADING, header:ignore, 0, 0, 0
38, dungeons_arise:bandit_village, HEADING, header:ignore, 0, 0, 0
39, wythers:banyan_sparse_jungle, HEADING, header:ignore, 0, 0, 0
40, wythers:baobab_dry_tropical_forest, HEADING, header:ignore, 0, 0, 0
41, wythers:baobab_savanna, HEADING, header:ignore, 0, 0, 0
42, wythers:baobab_savanna, CREATURE, minecraft:parrot, 40, 3, 5
43, wythers:baobab_tropical_forest, HEADING, header:ignore, 0, 0, 0
44, minecolonies:barbarian_camp, HEADING, header:ignore, 0, 0, 0
45, minecraft:bastion_remnant, HEADING, header:ignore, 0, 0, 0
46, dungeons_arise:bathhouse, HEADING, header:ignore, 0, 0, 0
47, imst:beehouse, HEADING, header:ignore, 0, 0, 0
48, imst:beehouse, AMBIENT, minecraft:bee, 10, 1, 1
49, shrines:bees, HEADING, header:ignore, 0, 0, 0
50, imst:berry_house, HEADING, header:ignore, 0, 0, 0
51, valhelsia_structures:big_tree, HEADING, header:ignore, 0, 0, 0
52, mss:birch_river, HEADING, header:ignore, 0, 0, 0
53, 1_splatus:blaze_king_tower, HEADING, header:ignore, 0, 0, 0
54, beautify:botanist_house_desert, HEADING, header:ignore, 0, 0, 0
55, beautify:botanist_house_plains, HEADING, header:ignore, 0, 0, 0
56, beautify:botanist_house_savanna, HEADING, header:ignore, 0, 0, 0
57, beautify:botanist_house_snowy, HEADING, header:ignore, 0, 0, 0
58, beautify:botanist_house_taiga, HEADING, header:ignore, 0, 0, 0
59, brewery:brewfest_tent, HEADING, header:ignore, 0, 0, 0
60, awesomedungeonocean:brigantine, HEADING, header:ignore, 0, 0, 0
61, nova_structures:bunker, HEADING, header:ignore, 0, 0, 0
62, betterarcheology:buried_ruins_sand, HEADING, header:ignore, 0, 0, 0
63, minecraft:buried_treasure, HEADING, header:ignore, 0, 0, 0
64, cataclysm:burning_arena, HEADING, header:ignore, 0, 0, 0
65, imst:cactus_farm, HEADING, header:ignore, 0, 0, 0
66, mss:calcite_house, HEADING, header:ignore, 0, 0, 0
67, minecolonies:caledonia_colony, HEADING, header:ignore, 0, 0, 0
68, minecolonies:caledonia_colony, CREATURE, minecraft:cat, 80, 1, 2
69, imst:caravan, HEADING, header:ignore, 0, 0, 0
70, valhelsia_structures:castle, HEADING, header:ignore, 0, 0, 0
71, mss:castle_ruin, HEADING, header:ignore, 0, 0, 0
72, valhelsia_structures:castle_ruin, HEADING, header:ignore, 0, 0, 0
73, mss:castle_tower, HEADING, header:ignore, 0, 0, 0
74, betterarcheology:catacombs, HEADING, header:ignore, 0, 0, 0
75, undergarden:catacombs, HEADING, header:ignore, 0, 0, 0
76, undergarden:catacombs, MONSTER, undergarden:forgotten, 10, 1, 1
77, dungeons_arise:ceryneian_hind, HEADING, header:ignore, 0, 0, 0
78, mss:cherry_river, HEADING, header:ignore, 0, 0, 0
79, imst:cocoa_farm, HEADING, header:ignore, 0, 0, 0
80, dungeons_arise:coliseum, HEADING, header:ignore, 0, 0, 0
81, minecolonies:colonial_colony, HEADING, header:ignore, 0, 0, 0
82, minecolonies:colonial_colony, CREATURE, minecraft:cat, 80, 1, 2
83, nova_structures:conduit_ruin, HEADING, header:ignore, 0, 0, 0
84, nova_structures:conduit_ruin, MONSTER, minecraft:guardian, 10, 1, 1
85, nova_structures:conduit_ruin, MONSTER, minecraft:drowned, 10, 1, 2
86, nova_structures:creeping_crypt, HEADING, header:ignore, 0, 0, 0
87, graveyard:crypt, HEADING, header:ignore, 0, 0, 0
88, graveyard:crypt, MONSTER, graveyard:acolyte, 25, 1, 1
89, graveyard:crypt, MONSTER, graveyard:corrupted_vindicator, 35, 1, 3
90, graveyard:crypt, MONSTER, graveyard:corrupted_pillager, 35, 1, 3
91, cataclysm:cursed_pyramid, HEADING, header:ignore, 0, 0, 0
92, imst:dark_tower, HEADING, header:ignore, 0, 0, 0
93, twilightforest:dark_tower, HEADING, header:ignore, 0, 0, 0
94, graveyard:dead_tree, HEADING, header:ignore, 0, 0, 0
95, valhelsia_structures:deep_spawner_room, HEADING, header:ignore, 0, 0, 0
96, totw_modded:derelict, HEADING, header:ignore, 0, 0, 0
97, totw_reworked:derelict, HEADING, header:ignore, 0, 0, 0
98, totw_modded:derelict_grass, HEADING, header:ignore, 0, 0, 0
99, totw_reworked:derelict_grass, HEADING, header:ignore, 0, 0, 0
100, totw_modded:desert, HEADING, header:ignore, 0, 0, 0
101, minecolonies:desert_camp, HEADING, header:ignore, 0, 0, 0
102, valhelsia_structures:desert_house, HEADING, header:ignore, 0, 0, 0
103, betterarcheology:desert_obelisk, HEADING, header:ignore, 0, 0, 0
104, minecraft:desert_pyramid, HEADING, header:ignore, 0, 0, 0
105, minecraft:desert_pyramid, MONSTER, hmag:giant_mummy, 10, 1, 1
106, mss:desert_pyramid, HEADING, header:ignore, 0, 0, 0
107, nova_structures:desert_ruins, HEADING, header:ignore, 0, 0, 0
108, betterdeserttemples:desert_temple, HEADING, header:ignore, 0, 0, 0
109, betterdeserttemples:desert_temple, MONSTER, minecraft:husk, 80, 10, 32
110, betterdeserttemples:desert_temple, MONSTER, hmag:giant_mummy, 10, 1, 1
111, betterdeserttemples:desert_temple, CREATURE, minecraft:cat, 80, 4, 4
112, betterdeserttemples:desert_temple, CREATURE, minecraft:rabbit, 80, 4, 4
113, dungeonsweaponry:desert_temple, HEADING, header:ignore, 0, 0, 0
114, wan_ancient_beasts:desert_temple, HEADING, header:ignore, 0, 0, 0
115, imst:desert_well, HEADING, header:ignore, 0, 0, 0
116, mss:desert_well, HEADING, header:ignore, 0, 0, 0
117, minecolonies:desertoasis_colony, HEADING, header:ignore, 0, 0, 0
118, minecolonies:desertoasis_colony, CREATURE, minecraft:cat, 80, 1, 2
119, mss:diorite_house, HEADING, header:ignore, 0, 0, 0
120, nova_structures:donjon, HEADING, header:ignore, 0, 0, 0
121, dungeoncrawl:dungeon, HEADING, header:ignore, 0, 0, 0
122, dungeonsweaponry:dungeon, HEADING, header:ignore, 0, 0, 0
123, imst:el_dorado, HEADING, header:ignore, 0, 0, 0
124, imst:el_dorado, MONSTER, minecraft:pillager, 10, 1, 3
125, wythers:el_dorado, HEADING, header:ignore, 0, 0, 0
126, wythers:elephant_graveyard_fossil, HEADING, header:ignore, 0, 0, 0
127, totw_modded:end, HEADING, header:ignore, 0, 0, 0
128, minecraft:end_city, HEADING, header:ignore, 0, 0, 0
129, minecraft:end_city, MONSTER, alexsmobs:mimicube, 18, 1, 3
130, minecraft:end_city, MONSTER, hmag:monolith, 40, 1, 1
131, shrines:end_temple, HEADING, header:ignore, 0, 0, 0
132, totw_additions:end_tower, HEADING, header:ignore, 0, 0, 0
133, betterend:end_village, HEADING, header:ignore, 0, 0, 0
134, 1_splatus:endcity_pyramid, HEADING, header:ignore, 0, 0, 0
135, betterend:eternal_portal, HEADING, header:ignore, 0, 0, 0
136, totw_modded:everbright, HEADING, header:ignore, 0, 0, 0
137, blue_skies:everbright_blinding_dungeon, HEADING, header:ignore, 0, 0, 0
138, totw_modded:everdawn, HEADING, header:ignore, 0, 0, 0
139, blue_skies:everdawn_blinding_dungeon, HEADING, header:ignore, 0, 0, 0
140, towns_and_towers:exclusives/pillager_outpost_classic, HEADING, header:ignore, 0, 0, 0
141, towns_and_towers:exclusives/pillager_outpost_classic, MONSTER, minecraft:pillager, 10, 1, 2
142, towns_and_towers:exclusives/pillager_outpost_iberian, HEADING, header:ignore, 0, 0, 0
143, towns_and_towers:exclusives/pillager_outpost_iberian, MONSTER, minecraft:pillager, 10, 1, 2
144, towns_and_towers:exclusives/pillager_outpost_mediterranean, HEADING, header:ignore, 0, 0, 0
145, towns_and_towers:exclusives/pillager_outpost_mediterranean, MONSTER, minecraft:pillager, 10, 1, 2
146, towns_and_towers:exclusives/pillager_outpost_oriental, HEADING, header:ignore, 0, 0, 0
147, towns_and_towers:exclusives/pillager_outpost_oriental, MONSTER, minecraft:pillager, 10, 1, 2
148, towns_and_towers:exclusives/pillager_outpost_rustic, HEADING, header:ignore, 0, 0, 0
149, towns_and_towers:exclusives/pillager_outpost_rustic, MONSTER, minecraft:pillager, 10, 1, 2
150, towns_and_towers:exclusives/pillager_outpost_swedish, HEADING, header:ignore, 0, 0, 0
151, towns_and_towers:exclusives/pillager_outpost_swedish, MONSTER, minecraft:pillager, 10, 1, 2
152, towns_and_towers:exclusives/pillager_outpost_tudor, HEADING, header:ignore, 0, 0, 0
