[00:54:43] [INIT] KubeJS 2001.6.5-build.16; MC 2001 forge
[00:54:43] [INIT] Loaded plugins:
[00:54:43] [INIT] - dev.latvian.mods.kubejs.forge.BuiltinKubeJSForgePlugin
[00:54:43] [INIT] - dev.latvian.mods.kubejs.forge.BuiltinKubeJSForgeClientPlugin
[00:54:43] [INIT] - dev.latvian.mods.kubejs.integration.forge.gamestages.GameStagesIntegration
[00:54:43] [INIT] - dev.ftb.mods.ftbxmodcompat.ftbquests.kubejs.KubeJSIntegration
[00:54:43] [INIT] - dev.ftb.mods.ftbxmodcompat.ftbteams.kubejs.FTBTeamsKubeJSPlugin
[00:54:44] [INFO] example.js#5: Hello, World! (Loaded server scripts)
[00:54:44] [INFO] Loaded script server_scripts:example.js in 0.003 s
[00:54:44] [INFO] Loaded script server_scripts:start.js in 0.001 s
[00:54:44] [INFO] Loaded 2/2 KubeJS server scripts in 0.007 s with 0 errors and 0 warnings
[00:54:44] [INFO] Scripts loaded
[00:54:44] [INFO] Initializing recipe event...
[00:54:48] [INFO] Processing recipes...
[00:54:48] [WARN] Failed to parse recipe 'minecraft:f_21[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'minecraft:f_30[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'minecraft:f_33[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'divine_weaponry:apophis_katana_craft[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/steeleaf_throwing_axe[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'divine_weaponry:netherite_sickle_craft[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'divine_weaponry:mjollnir_craft[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'minecraft:f_67[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/poseidite_round_shield[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'minecraft:f_78[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'minecraft:f_77[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'minecraft:f_79[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/sculkium_javelin[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'minecraft:f_81[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'minecraft:f_80[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'minecraft:f_83[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'minecraft:f_82[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'minecraft:f_85[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'minecraft:f_84[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'minecraft:f_86[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/knightmetal_throwing_axe[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/totemic_gold_dagger[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2complements:generated_tools/shulkerate/upgrade/shulkerate_pickaxe[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/sculkium_plate_shield[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/diamond_battle_axe[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2complements:vanilla/upgrade/iron_boots[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/fiery_plate_shield[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/ironwood_hammer[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2complements:generated_tools/poseidite/upgrade/poseidite_hoe[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2complements:generated_tools/totemic_gold/upgrade/totemic_gold_pickaxe[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2complements:vanilla/upgrade/iron_chestplate[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/totemic_gold_throwing_axe[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2complements:generated_tools/eternium/upgrade/eternium_leggings[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/gold_throwing_axe[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/diamond_round_shield[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/knightmetal_spear[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2complements:vanilla/upgrade/diamond_helmet[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2complements:vanilla/upgrade/diamond_hoe[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2complements:vanilla/upgrade/diamond_shovel[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2complements:generated_tools/totemic_gold/upgrade/totemic_gold_boots[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:legendary/abyss_echo[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2complements:generated_tools/sculkium/upgrade/sculkium_sword[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/sculkium_dagger[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/knightmetal_battle_axe[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2complements:vanilla/upgrade/golden_axe[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/shulkerate_plate_shield[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/eternium_dagger[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/knightmetal_hammer[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/diamond_claw[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:legendary/blade_of_illusion[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:legendary/spear_of_winter_storm[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'nyfsarcheryplus:netherite_arrowhead[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2complements:generated_tools/poseidite/upgrade/poseidite_leggings[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/poseidite_dagger[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'divine_weaponry:netherite_battleaxe_craft[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/gold_hammer[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe '1_splatus:ultris/command[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2complements:generated_tools/totemic_gold/upgrade/totemic_gold_helmet[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/poseidite_plate_shield[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/diamond_plate_shield[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/fiery_javelin[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2complements:vanilla/upgrade/diamond_sword[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/sculkium_machete[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:legendary/vampire_desire[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/knightmetal_javelin[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:legendary/claw_of_determination[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'divine_weaponry:netherite_rapier_craft[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/shulkerate_round_shield[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/steeleaf_hammer[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
